slovakia,neighbor,ukraine
slovakia,neighbor,hungary
slovakia,neighbor,austria
slovakia,neighbor,czechia
slovakia,neighbor,poland
niger,neighbor,algeria
niger,neighbor,chad
niger,neighbor,libya
niger,neighbor,burkina_faso
niger,neighbor,mali
niger,neighbor,nigeria
niger,neighbor,benin
morocco,neighbor,western_sahara
morocco,neighbor,spain
morocco,neighbor,algeria
senegal,neighbor,gambia
senegal,neighbor,mauritania
senegal,neighbor,mali
senegal,neighbor,guinea-bissau
senegal,neighbor,guinea
equatorial_guinea,neighbor,gabon
equatorial_guinea,neighbor,cameroon
gibraltar,neighbor,spain
liechtenstein,neighbor,switzerland
liechtenstein,neighbor,austria
venezuela,neighbor,brazil
venezuela,neighbor,colombia
venezuela,neighbor,guyana
afghanistan,neighbor,pakistan
afghanistan,neighbor,iran
afghanistan,neighbor,turkmenistan
afghanistan,neighbor,uzbekistan
afghanistan,neighbor,china
afghanistan,neighbor,tajikistan
greece,neighbor,turkey
greece,neighbor,albania
greece,neighbor,macedonia
greece,neighbor,bulgaria
qatar,neighbor,saudi_arabia
ecuador,neighbor,peru
ecuador,neighbor,colombia
yemen,neighbor,oman
yemen,neighbor,saudi_arabia
namibia,neighbor,south_africa
namibia,neighbor,zambia
namibia,neighbor,angola
namibia,neighbor,botswana
hong_kong,neighbor,china
paraguay,neighbor,brazil
paraguay,neighbor,argentina
paraguay,neighbor,bolivia
india,neighbor,afghanistan
india,neighbor,bangladesh
india,neighbor,myanmar
india,neighbor,pakistan
india,neighbor,nepal
india,neighbor,bhutan
india,neighbor,china
india,neighbor,sri_lanka
croatia,neighbor,hungary
croatia,neighbor,serbia
croatia,neighbor,montenegro
croatia,neighbor,bosnia_and_herzegovina
croatia,neighbor,slovenia
ethiopia,neighbor,eritrea
ethiopia,neighbor,sudan
ethiopia,neighbor,djibouti
ethiopia,neighbor,south_sudan
ethiopia,neighbor,somalia
ethiopia,neighbor,kenya
republic_of_the_congo,neighbor,cameroon
republic_of_the_congo,neighbor,dr_congo
republic_of_the_congo,neighbor,angola
republic_of_the_congo,neighbor,gabon
republic_of_the_congo,neighbor,central_african_republic
malaysia,neighbor,brunei
malaysia,neighbor,indonesia
malaysia,neighbor,thailand
latvia,neighbor,belarus
latvia,neighbor,lithuania
latvia,neighbor,russia
latvia,neighbor,estonia
algeria,neighbor,mauritania
algeria,neighbor,libya
algeria,neighbor,tunisia
algeria,neighbor,western_sahara
algeria,neighbor,mali
eritrea,neighbor,sudan
eritrea,neighbor,djibouti
bhutan,neighbor,china
vatican_city,neighbor,italy
saint_martin,neighbor,sint_maarten
mali,neighbor,mauritania
mali,neighbor,ivory_coast
mali,neighbor,guinea
mali,neighbor,burkina_faso
mauritania,neighbor,western_sahara
netherlands,neighbor,belgium
netherlands,neighbor,germany
swaziland,neighbor,south_africa
swaziland,neighbor,mozambique
macau,neighbor,china
lesotho,neighbor,south_africa
czechia,neighbor,austria
czechia,neighbor,germany
czechia,neighbor,poland
monaco,neighbor,france
gabon,neighbor,cameroon
brazil,neighbor,suriname
brazil,neighbor,peru
brazil,neighbor,uruguay
brazil,neighbor,french_guiana
brazil,neighbor,colombia
brazil,neighbor,guyana
brazil,neighbor,argentina
brazil,neighbor,bolivia
